d_dealerid,d_manager,d_email,d_address,d_phonenumber,d_nationkey
1,uncle mando,mandomando@unclemando.com,"1234 fairfax rd los angeles, ca",8904234237,25
2,uncle rico,rico@unclemando.com,"4980 adidas ave riverbank, ca",9350673985,25
3,uncle jesse,jessemoon@unclemando.com,"5237 nike way portland, or",2782457977,25
4,uncle julian,mrclean@unclemando.com,"4236 juggernaut dr seattle, wa",3793684796,25
5,uncle eric,theeric@unclemando.com,"4782 browntable ave rocky, co",2560415806,25
6,uncle betsy,thegurgbetsy@unclemando.com,"8972 goldenfence dr austin, tx",7395159811,25
7,uncle boi,boiboi@unclemando.com,"7682 thegirl st miami, fl",7843534782,25
8,uncle daisy,ayoayo@unclemando.com,"3267 similarity ave new york, ny",2345235456,25
9,uncle basi,twojobsbasi@unclemando.com,"3290 camry st newport, nj",7658323495,25
10,uncle javier,thepaviscool@unclemando.com,"3297 burgers rd meadows, mi",4645674589,25
11,uncle joe,ayojoe@unclemando.com,"2238 waffles way toronto, canada",9687653422,4
12,uncle natalie,natn@unclemando.com,"9689 cinderella ave lyon, france",3464758921,7
13,uncle intiser,inistierthegoat@unclemando.com,"9758 waterbottle rd bayern, germany",3475489908,8
14,uncle rufus,rufusucmerced@unclemando.com,"4329 compass way guangzhou, china",3546787955,19
15,uncle jose,joseandbikes@unclemando.com,"6408 main st london, united kingdom",4365745346,24
