d_dealerid,d_manager,d_email,d_address,d_phonenumber,d_nationkey
1,Mando Son,mandomando@unclemando.com,"1234 fairfax rd los angeles, ca",689-8246-34,1
2,Rico Challe,rico@unclemando.com,"4980 adidas ave riverbank, ca",552-0755-07,1
3,Jesse Moon,jessemoon@unclemando.com,"5237 nike way portland, or",411-5084-98,1
4,Mint Cool,mrclean@unclemando.com,"4236 juggernaut dr seattle, wa",958-9066-67,1
5,Eric Strite,theeric@unclemando.com,"4782 browntable ave rocky, co",599-6248-66,1
6,Elizabeth Try,thegurgbetsy@unclemando.com,"8972 goldenfence dr austin, tx",885-3063-15,1
7,Tommy Crew,boiboi@unclemando.com,"7682 thegirl st miami, fl",422-5453-46,1
8,Highlander Stim,ayoayo@unclemando.com,"3267 similarity ave new york, ny",680-7842-50,1
9,Brock Lamont ,twojobsbasi@unclemando.com,"3290 camry st newport, nj",134-1475-51,1
10,Devante Jean,thepaviscool@unclemando.com,"3297 burgers rd meadows, mi",531-0240-60,1
11,Devyn Will,ayojoe@unclemando.com,"2238 waffles way toronto, canada",547-9741-62,1
12,Aminah Lint,natn@unclemando.com,"9689 cinderella ave lyon, france",480-2821-20,1
13,Ahdraa Tool ,inistierthegoat@unclemando.com,"9758 waterbottle rd bayern, germany",739-5186-21,1
14,John Strat,rufusucmerced@unclemando.com,"4329 compass way guangzhou, china",775-8856-58,1
15,Don Bon,joseandbikes@unclemando.com,"6408 main st london, united kingdom",352-0472-99,1
16,Dayton Laymon,t.elliott@randatmail.com,"1235 fairfax rd los angeles, ca",612-1605-57,2
17,Rick Tip,l.ellis@randatmail.com,"4981 adidas ave riverbank, ca",373-6452-71,2
18,Natalie Pie,c.carroll@randatmail.com,"5238 nike way portland, or",510-4690-47,2
19,Thompson Opsblack,b.owens@randatmail.com,"4237 juggernaut dr seattle, wa",007-3943-79,2
20,Rajeet Speet ,m.gibson@randatmail.com,"4781 browntable ave rocky, co",797-8966-87,2
21,Eirc Strike,d.wright@randatmail.com,"8973 goldenfence dr austin, tx",209-8176-39,2
22,Herny Tike,t.myers@randatmail.com,"7683 thegirl st miami, fl",879-5282-52,2
23,Larry Berry,a.martin@randatmail.com,"3268 similarity ave new york, ny",163-6773-90,2
24,Mat Meant,s.johnson@randatmail.com,"3291 camry st newport, nj",936-9857-83,2
25,Jim Halpert,s.cunningham@randatmail.com,"3298 burgers rd meadows, mi",448-9491-45,2
26,Michael Scott,t.robinson@randatmail.com,"2239 waffles way toronto, canada",016-6226-29,2
27,Dwight Strute,s.hawkins@randatmail.com,"9690 cinderella ave lyon, france",078-8421-02,2
28,Kevin Smith,g.brooks@randatmail.com,"9759 waterbottle rd bayern, germany",943-5255-51,2
29,Creed Tilt ,s.spencer@randatmail.com,"4330 compass way guangzhou, china",275-8090-74,2
30,Stanley Manley ,k.lloyd@randatmail.com,"6409 main st london, united kingdom",842-2283-17,2
31,Bobby Cafe,c.chapman@randatmail.com,"1236 fairfax rd los angeles, ca",700-0695-50,3
32,Tac Dempsey,o.wilson@randatmail.com,"4982 adidas ave riverbank, ca",184-3032-59,3
33,Nickolai Balenci,k.edwards@randatmail.com,"5239 nike way portland, or",223-3915-10,3
34,Takeo Murr,s.cameron@randatmail.com,"4238 juggernaut dr seattle, wa",979-5923-94,3
35,Edward Rictofen ,a.harper@randatmail.com,"4784 browntable ave rocky, co",607-3394-13,3
36,Tony Edwards,o.edwards@randatmail.com,"8974 goldenfence dr austin, tx",816-7243-59,3
37,Lucy Hall,v.hall@randatmail.com,"7684 thegirl st miami, fl",552-1459-25,3
